638;Banco Prosper S.A.;http://www.bancoprosper.com.br
747;Banco Rabobank International Brasil S.A.;http://www.rabobank.com.br
356;Banco Real S.A.;http://www.bancoreal.com.br
633;Banco Rendimento S.A.;http://www.rendimento.com.br
741;Banco Ribeirão Preto S.A.;http://www.brp.com.br
M16;Banco Rodobens S.A.;http://www.rodobens.com.br
72;Banco Rural Mais S.A.;http://www.rural.com.br
453;Banco Rural S.A.;http://www.rural.com.br
422;Banco Safra S.A.;http://www.safra.com.br
33;Banco Santander (Brasil) S.A.;http://www.santander.com.br
250;Banco Schahin S.A.;http://www.bancoschahin.com.br
743;Banco Semear S.A.;http://www.bancosemear.com.br
749;Banco Simples S.A.;http://www.bancosimples.com.br
366;Banco Société Générale Brasil S.A.;http://www.sgbrasil.com.br
637;Banco Sofisa S.A.;http://www.sofisa.com.br
12;Banco Standard de Investimentos S.A.;http://www.standardbank.com
082-5;Banco Topázio S.A.;http://www.bancotopazio.com.br
M20;Banco Toyota do Brasil S.A.;http://www.bancotoyota.com.br
634;Banco Triângulo S.A.;http://www.tribanco.com.br
M13;Banco Tricury S.A.;http://www.tricury.com.br
M14;Banco Volkswagen S.A.;http://www.bancovw.com.br
655;Banco Votorantim S.A.;http://www.bancovotorantim.com.br
610;Banco VR S.A.;http://www.vr.com.br
370;Banco WestLB do Brasil S.A.;http://www.westlb.com.br
21;BANESTES S.A.;http://www.banestes.com.br
719;Banif-Banco Internacional do Funchal (Brasil)S.A.;http://www.banif.com.br
755;Bank of America Merrill Lynch Banco Múltiplo S.A.;http://www.ml.com
744;BankBoston N.A.;http://www.bankboston.com.br
73;BB Banco Popular do Brasil S.A.;http://www.bancopopulardobrasil.com.br
78;BES Investimento do Brasil S.A.;http://www.besinvestimento.com.br
69;BPN Brasil Banco Múltiplo S.A.;http://www.bpnbrasil.com.br
70;BRB - Banco de Brasília S.A.;http://www.brb.com.br
104;Caixa Econômica Federal  ;http://www.caixa.gov.br
477;Citibank N.A.;http://www.citibank.com/brasil
081-7;Concórdia Banco S.A.;http://www.concordiabanco.com
487;Deutsche Bank S.A.;http://www.deutsche-bank.com.br
751;Dresdner Bank Brasil S.A.;http://www.dkib.com.br
64;Goldman Sachs do Brasil Banco Múltiplo S.A.;http://www.goldmansachs.com
62;Hipercard Banco Múltiplo S.A.;http://www.hipercard.com.br
399;HSBC Bank Brasil S.A.;http://www.hsbc.com.br
492;ING Bank N.V.  http://www.ing.com;http://www.ing.com
652;Itaú Unibanco Holding S.A.;http://www.itau.com.br
341;Itaú Unibanco S.A.;http://www.itau.com.br
79;JBS Banco S.A.;http://www.bancojbs.com.br
488;JPMorgan Chase Bank  ;http://www.jpmorganchase.com
753;NBC Bank Brasil S.A.;http://www.nbcbank.com.br
254;Paraná Banco S.A.;http://www.paranabanco.com.br
409;UNIBANCO - União de Bancos Brasileiros S.A.;http://www.unibanco.com.br
230;Unicard Banco Múltiplo S.A.;http://www.unicard.com.br
091-4;Unicred Central do Rio Grande do Sul ; http://www.unicred-rs.com.br
654;Banco A.J.Renner S.A.;
641;Banco Alvorada S.A.;
19;Banco Azteca do Brasil S.A.;
248;Banco Boavista Interatlântico S.A.;
36;Banco Bradesco BBI S.A.;
473;Banco Caixa Geral - Brasil S.A.;
241;Banco Clássico S.A.;
083-3;Banco da China Brasil S.A.;
494;Banco de La Republica Oriental del Uruguay;
249;Banco Investcred Unibanco S.A.;
724;Banco Porto Seguro S.A.;
M24;Banco PSA Finance Brasil S.A.;
088-4;Banco Randon S.A.;
464;Banco Sumitomo Mitsui Brasileiro S.A.;
M23;Banco Volvo (Brasil) S.A.;
092-2;Brickell S.A.;
097-3;Cooperativa Central de Crédito Noroeste Brasileiro Ltda.;
085-x;Cooperativa Central de Crédito Urbano-CECRED;
099-x;Cooperativa Central de Economia e Credito Mutuo das Unicreds;
090-2;Cooperativa Central de Economia e Crédito Mutuo das Unicreds;
089-2;Cooperativa de Crédito Rural da Região de Mogiana;
087-6;Cooperativa Unicred Central Santa Catarina;
098-1;Credicorol Cooperativa de Crédito Rural;
168;HSBC Finance (Brasil) S.A.;
14;Natixis Brasil S.A.;
086-8;OBOE Crédito Financiamento e Investimento S.A.;
84;Unicred Norte do Paraná;
