246
25
213
29
0
740
107
31
739
96
318
752
218
65
204
394
237
225
M15
208
44
263
412
40
266
745
M08
M19
215
756
748
75
721
222
505
229
3
M21
707
300
495
M06
24
456
214
1
47
37
39
41
4
265
M03
224
626
M18
233
734
M07
612
M22
63
M11
604
320
653
630
077;9
184
479
M09
376
74
217
76
757
600
212
243
M12
389
746
M10
738
66
45
M17
623
611
613
094;2
643
735
638
747
356
633
741
M16
72
453
422
33
250
743
749
366
637
12
082;5
M20
634
M13
M14
655
610
370
21
719
755
744
73
78
69
70
104
477
081;7
487
751
64
62
399
492
652
341
79
488
753
254
409
230
091;4
654
641
19
248
36
473
241
083;3
494
249
724
M24
088;4
464
M23
092;2
097;3
085;x
099;x
090;2
089;2
087;6
098;1
168
14
086;8
84
