62;215;;Banco Comercial e de Investimento Sudameris S.A.;Banco Comercial e de Investim;http://www.sudameris.com.br
63;217;;Banco John Deere S.A.;Banco John Deere S.A.;http://www.johndeere.com.br
64;218;;Banco Bonsucesso S.A.;Banco Bonsucesso S.A.;http://www.bancobonsucesso.com.br
65;222;;Banco Credit Agricole Brasil S.A.;Banco Credit Agricole Brasil;http://www.calyon.com.br
66;224;;Banco Fibra S.A.;Banco Fibra S.A.;http://www.bancofibra.com.br
67;225;;Banco Brascan S.A.;Banco Brascan S.A.;http://www.bancobrascan.com.br
68;229;;Banco Cruzeiro do Sul S.A.;Banco Cruzeiro do Sul S.A.;http://www.bcsul.com.br
69;230;;Unicard Banco Múltiplo S.A.;Unicard Banco Múltiplo S.A.;http://www.unicard.com.br
70;233;;Banco GE Capital S.A.;Banco GE Capital S.A.;http://www.ge.com.br
71;237;;Banco Bradesco S.A.;Banco Bradesco S.A.;http://www.bradesco.com.br
72;241;;Banco Clássico S.A.;Banco Clássico S.A.;
73;243;;Banco Máxima S.A.;Banco Máxima S.A.;http://www.bancomaxima.com.br
74;246;;Banco ABC Brasil S.A.;Banco ABC Brasil S.A.;http://www.abcbrasil.com.br
75;248;;Banco Boavista Interatlântico S.A.;Banco Boavista Interatlântic;
76;249;;Banco Investcred Unibanco S.A.;Banco Investcred Unibanco S.A;
77;250;;Banco Schahin S.A.;Banco Schahin S.A.;http://www.bancoschahin.com.br
78;254;;Paraná Banco S.A.;Paraná Banco S.A.;http://www.paranabanco.com.br
79;263;;Banco Cacique S.A.;Banco Cacique S.A.;http://www.bancocacique.com.br
80;265;;Banco Fator S.A.;Banco Fator S.A.;http://www.bancofator.com.br
81;266;;Banco Cédula S.A.;Banco Cédula S.A.;http://www.bancocedula.com.br
82;300;;Banco de La Nacion Argentina  ;Banco de La Nacion Argentina;http://www.bna.com.ar
83;318;;Banco BMG S.A.;Banco BMG S.A.;http://www.bancobmg.com.br
84;320;;Banco Industrial e Comercial S.A.;Banco Industrial e Comercial;http://www.bicbanco.com.br
85;341;;Itaú Unibanco S.A.;Itaú Unibanco S.A.;http://www.itau.com.br
86;356;;Banco Real S.A.;Banco Real S.A.;http://www.bancoreal.com.br
87;366;;Banco Société Générale Brasil S.A.;Banco Société Générale Br;http://www.sgbrasil.com.br
88;370;;Banco WestLB do Brasil S.A.;Banco WestLB do Brasil S.A.;http://www.westlb.com.br
89;376;;Banco J. P. Morgan S.A.;Banco J. P. Morgan S.A.;http://www.jpmorgan.com
90;389;;Banco Mercantil do Brasil S.A.;Banco Mercantil do Brasil S.A;http://www.mercantil.com.br
91;394;;Banco Bradesco Financiamentos S.A.;Banco Bradesco Financiamentos;http://www.bmc.com.br
92;399;;HSBC Bank Brasil S.A.;HSBC Bank Brasil S.A.;http://www.hsbc.com.br
93;409;;UNIBANCO - União de Bancos Brasileiros S.A.;UNIBANCO - União de Bancos B;http://www.unibanco.com.br
94;412;;Banco Capital S.A.;Banco Capital S.A.;http://www.bancocapital.com.br
95;422;;Banco Safra S.A.;Banco Safra S.A.;http://www.safra.com.br
96;453;;Banco Rural S.A.;Banco Rural S.A.;http://www.rural.com.br
97;456;;Banco de Tokyo-Mitsubishi UFJ Brasil S.A.;Banco de Tokyo-Mitsubishi UFJ;http://www.btm.com.br
98;464;;Banco Sumitomo Mitsui Brasileiro S.A.;Banco Sumitomo Mitsui Brasile;
99;473;;Banco Caixa Geral - Brasil S.A.;Banco Caixa Geral - Brasil S.;
100;477;;Citibank N.A.;Citibank N.A.;http://www.citibank.com/brasil
101;479;;Banco ItaúBank S.A ;Banco ItaúBank S.A;http://www.itaubank.com.br
102;487;;Deutsche Bank S.A.;Deutsche Bank S.A.;http://www.deutsche-bank.com.br
103;488;;JPMorgan Chase Bank  ;JPMorgan Chase Bank;http://www.jpmorganchase.com
104;492;;ING Bank N.V.  http://www.ing.com;ING Bank N.V.  http://www.ing;http://www.ing.com
105;494;;Banco de La Republica Oriental del Uruguay;Banco de La Republica Orienta;
106;495;;Banco de La Provincia de Buenos Aires  ;Banco de La Provincia de Buen;http://www.bapro.com.ar
107;505;;Banco Credit Suisse (Brasil) S.A.;Banco Credit Suisse (Brasil);http://www.csfb.com
108;600;;Banco Luso Brasileiro S.A.;Banco Luso Brasileiro S.A.;http://www.lusobrasileiro.com.br
109;604;;Banco Industrial do Brasil S.A.;Banco Industrial do Brasil S.;http://www.bancoindustrial.com.br
110;610;;Banco VR S.A.;Banco VR S.A.;http://www.vr.com.br
111;611;;Banco Paulista S.A.;Banco Paulista S.A.;http://www.bancopaulista.com.br
112;612;;Banco Guanabara S.A.;Banco Guanabara S.A.;http://www.bcoguan.com.br
113;613;;Banco Pecúnia S.A.;Banco Pecúnia S.A.;http://www.bancopecunia.com.br
114;623;;Banco Panamericano S.A.;Banco Panamericano S.A.;http://www.panamericano.com.br
115;626;;Banco Ficsa S.A.;Banco Ficsa S.A.;http://www.ficsa.com.br
116;630;;Banco Intercap S.A.;Banco Intercap S.A.;http://www.intercap.com.br
117;633;;Banco Rendimento S.A.;Banco Rendimento S.A.;http://www.rendimento.com.br
118;634;;Banco Triângulo S.A.;Banco Triângulo S.A.;http://www.tribanco.com.br
119;637;;Banco Sofisa S.A.;Banco Sofisa S.A.;http://www.sofisa.com.br
120;638;;Banco Prosper S.A.;Banco Prosper S.A.;http://www.bancoprosper.com.br
121;641;;Banco Alvorada S.A.;Banco Alvorada S.A.;
122;643;;Banco Pine S.A.;Banco Pine S.A.;http://www.bancopine.com.br
123;652;;Itaú Unibanco Holding S.A.;Itaú Unibanco Holding S.A.;http://www.itau.com.br
124;653;;Banco Indusval S.A.;Banco Indusval S.A.;http://www.indusval.com.br
125;654;;Banco A.J.Renner S.A.;Banco A.J.Renner S.A.;
126;655;;Banco Votorantim S.A.;Banco Votorantim S.A.;http://www.bancovotorantim.com.br
127;707;;Banco Daycoval S.A.;Banco Daycoval S.A.;http://www.daycoval.com.br
128;719;;Banif-Banco Internacional do Funchal (Brasil)S.A.;Banif-Banco Internacional do;http://www.banif.com.br
129;721;;Banco Credibel S.A.;Banco Credibel S.A.;http://www.credibel.com.br
130;724;;Banco Porto Seguro S.A.;Banco Porto Seguro S.A.;
131;734;;Banco Gerdau S.A.;Banco Gerdau S.A.;http://www.bancogerdau.com.br
132;735;;Banco Pottencial S.A.;Banco Pottencial S.A.;http://www.pottencial.com.br
133;738;;Banco Morada S.A.;Banco Morada S.A.;http://www.bancomorada.com.br
134;739;;Banco BGN S.A.;Banco BGN S.A.;http://www.bgn.com.br
135;740;;Banco Barclays S.A.;Banco Barclays S.A.;http://www.barclays.com
136;741;;Banco Ribeirão Preto S.A.;Banco Ribeirão Preto S.A.;http://www.brp.com.br
137;743;;Banco Semear S.A.;Banco Semear S.A.;http://www.bancosemear.com.br
138;744;;BankBoston N.A.;BankBoston N.A.;http://www.bankboston.com.br
139;745;;Banco Citibank S.A.;Banco Citibank S.A.;http://www.citibank.com.br
140;746;;Banco Modal S.A.;Banco Modal S.A.;http://www.bancomodal.com.br
141;747;;Banco Rabobank International Brasil S.A.;Banco Rabobank International;http://www.rabobank.com.br
142;748;;Banco Cooperativo Sicredi S.A.;Banco Cooperativo Sicredi S.A;http://www.sicredi.com.br
143;749;;Banco Simples S.A.;Banco Simples S.A.;http://www.bancosimples.com.br
144;751;;Dresdner Bank Brasil S.A.;Dresdner Bank Brasil S.A.;http://www.dkib.com.br
145;752;;Banco BNP Paribas Brasil S.A.;Banco BNP Paribas Brasil S.A.;http://www.bnpparibas.com.br
146;753;;NBC Bank Brasil S.A.;NBC Bank Brasil S.A.;http://www.nbcbank.com.br
147;755;;Bank of America Merrill Lynch Banco Múltiplo S.A.;Bank of America Merrill Lynch;http://www.ml.com
148;756;;Banco Cooperativo do Brasil S.A.;Banco Cooperativo do Brasil S;http://www.bancoob.com.br
149;757;;Banco KEB do Brasil S.A.;Banco KEB do Brasil S.A.;http://www.bancokeb.com.br
150;M03;;Banco Fiat S.A.;Banco Fiat S.A.;http://www.bancofiat.com.br
151;M06;;Banco de Lage Landen Brasil S.A.;Banco de Lage Landen Brasil S;http://www.delagelanden.com
152;M07;;Banco GMAC S.A.;Banco GMAC S.A.;http://www.bancogm.com.br
153;M08;;Banco Citicard S.A.;Banco Citicard S.A.;http://www.credicardbanco.com.br
154;M09;;Banco Itaucred Financiamentos S.A.;Banco Itaucred Financiamentos;http://www.itaucred.com.br
155;M10;;Banco Moneo S.A.;Banco Moneo S.A.;http://www.bancomoneo.com.br
156;M11;;Banco IBM S.A.;Banco IBM S.A.;http://www.ibm.com/br/financing/
157;M12;;Banco Maxinvest S.A.;Banco Maxinvest S.A.;http://www.bancomaxinvest.com.br
158;M13;;Banco Tricury S.A.;Banco Tricury S.A.;http://www.tricury.com.br
159;M14;;Banco Volkswagen S.A.;Banco Volkswagen S.A.;http://www.bancovw.com.br
160;M15;;Banco BRJ S.A.;Banco BRJ S.A.;http://www.brjbank.com.br
161;M16;;Banco Rodobens S.A.;Banco Rodobens S.A.;http://www.rodobens.com.br
162;M17;;Banco Ourinvest S.A.;Banco Ourinvest S.A.;http://www.ourinvest.com.br
163;M18;;Banco Ford S.A.;Banco Ford S.A.;http://www.bancoford.com.br
164;M19;;Banco CNH Capital S.A.;Banco CNH Capital S.A.;http://www.bancocnh.com.br
165;M20;;Banco Toyota do Brasil S.A.;Banco Toyota do Brasil S.A.;http://www.bancotoyota.com.br
166;M21;;Banco Daimlerchrysler S.A.;Banco Daimlerchrysler S.A.;http://www.bancodaimlerchrysler.com.br
167;M22;;Banco Honda S.A.;Banco Honda S.A.;http://www.bancohonda.com.br
168;M23;;Banco Volvo (Brasil) S.A.;Banco Volvo (Brasil) S.A.;
169;M24;;Banco PSA Finance Brasil S.A.;Banco PSA Finance Brasil S.A.;
